test_id;Question;SPARQL query;Extracted_properties_str
test_19;What are the countries along with images of their flags and their populations, ordered by descending population?;"PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?country ?flagImage ?population WHERE { ?country wdt:P31 wd:Q6256 ; wdt:P1082 ?population ; wdt:P163 [ wdt:P18 ?flagImage ] . } ORDER BY DESC ( ?population )";P31, P1082, P163, P18
test_20;What is the current number of operational airports and the population for each country, excluding airports that have an end time or a dissolved, abolished, or demolished date, if available?;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?country ?no_of_airports ?population WHERE { { SELECT ?country ( COUNT ( ?airport ) AS ?no_of_airports ) WHERE { ?airport wdt:P17 ?country . ?airport wdt:P31 / wdt:P279 * wd:Q1248784 . OPTIONAL { ?airport ( wdt:P582 | wdt:P576 ) ?endtime . } FILTER ( ! BOUND ( ?endtime ) ) } GROUP BY ?country } ?country wdt:P1082 ?population . };P17, P31, P279, P582, P576, P1082
test_21;What are the items cataloged under the EHRI authority control?;PREFIX wd: <http://www.wikidata.org/entity/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> SELECT ?item WHERE { ?item p:P528 ?statement . ?statement pq:P972 wd:Q51278630 . };
test_22;What are the provinces and their corresponding countries?;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?province ?state WHERE { ?province wdt:P31 / wdt:P279 * wd:Q34876 . ?province wdt:P17 ?state . };P31, P279, P17
test_23;What are the official languages of countries that use a writing system which is either a subclass of the Latin script or an instance of a Latin-script alphabet? Include a count of each language, and order by the count in descending order.;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?language ( COUNT ( ?language ) AS ?count ) WHERE { ?country wdt:P31 wd:Q6256 . ?country wdt:P37 ?language . ?language wdt:P282 ?script . { ?script wdt:P279 * wd:Q8229 . } UNION { ?script wdt:P31 wd:Q29575627 } } GROUP BY ?language ORDER BY DESC ( ?count );P31, P37, P282, P279
test_24;What are the different types of items that have a U.S. National Archives Identifier, along with the total count of how many items of each type exist, ordered by the total count in descending order?;"#NARA P1225
SELECT ?nature ?total WITH { 
  SELECT ?nature (COUNT(?item) as ?total)
  WHERE 
  {
    ?item wdt:P1225 ?ID;
          wdt:P31 ?nature.
  } GROUP BY ?nature }  as %i
where 
{
  include %i
} ORDER BY DESC(?total)

";P1225, P31
test_25;What are the items located in Ille-et-Vilaine, along with their coordinates and the century of their inception (rounded to the nearest century)?;"PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?item ?coord ( round ( YEAR ( ?date ) / 100 ) as ?layer ) WHERE { ?item wdt:P131 + wd:Q12549 ; wdt:P625 ?coord ; wdt:P571 ?date . }";P131, P625, P571
test_26;Which Italian citizens died before June 18, 1946 and were born within the start and end time of their country of birth's existence? Please include their date of birth and date of death, place of birth and place of death, and the start and end time of their country of birth. Use the MAX function to get only one date of birth and date of death.;"PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?human ( MAX ( ?nato ) as ?DoB ) ( MAX ( ?morte ) as ?DoD ) ?natoC ?morteC ?paese ?inizioPaese ?finePaese WHERE { ?human wdt:P31 wd:Q5 ; wdt:P27 wd:Q38 ; wdt:P569 ?nato ; wdt:P19 ?natoC ; wdt:P570 ?morte ; wdt:P20 ?morteC . ?natoC p:P17 ?statmt . ?statmt ps:P17 ?paese . ?statmt pq:P580 ?inizioPaese . ?statmt pq:P582 ?finePaese FILTER ( ""1946-06-18"" ^^ xsd:dateTime > ?morte ) FILTER ( year ( ?inizioPaese ) < year ( ?nato ) && year ( ?nato ) < year ( ?finePaese ) ) } group by ?human ?natoC ?morteC ?paese ?inizioPaese ?finePaese";P31, P27, P569, P19, P570, P20
test_27;Which books were authored by Arthur Conan Doyle?;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?book WHERE { ?book wdt:P50 wd:Q35610 . };P50
test_28;Which communes of Italy have their northernmost point at a latitude greater than the southernmost point of Trieste? Please include their names, northernmost latitude, and northernmost longitude, and order by from northernmost to southernmost.;"PREFIX psv: <http://www.wikidata.org/prop/statement/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?item ?itemLabel ?northernmostLat ?northernmostLong WHERE { wd:Q546 p:P1333 / psv:P1333 / wikibase:geoLatitude ?threshold . ?item wdt:P31 wd:Q747074 ; p:P1332 / psv:P1332 [ wikibase:geoLatitude ?northernmostLat ; wikibase:geoLongitude ?northernmostLong ] . FILTER ( ?northernmostLat > ?threshold ) . SERVICE wikibase:label { bd:serviceParam wikibase:language ""en,it"" } . } ORDER BY DESC ( ?northernmostLat )";P31
test_29;"Which items have the official name ""Коломия"" in Ukrainian?";"PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT ?item WHERE { ?item wdt:P1448 ""Коломия"" @uk . }";P1448
test_30;Who are the current members of the Tunisian parliament (Assembly of the Representatives of the People) without an end time specified, along with their start time, electoral district, and the election in which they were elected, if available?;PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?item ?P580 ?P768 ?P2715 WHERE { ?item p:P39 ?stat . ?stat ps:P39 wd:Q29169698 . filter not exists { ?stat pq:P582 [] . } OPTIONAL { ?stat pq:P580 ?P580 . } OPTIONAL { ?stat pq:P768 ?P768 . } OPTIONAL { ?stat pq:P2715 ?P2715 . } };
test_31;Which items are role-playing video games? Include their developers, publishers, and publication dates, if available.;"PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?game ?dev ?publisher ?date WHERE { ?game wdt:P31 wd:Q7889 ; wdt:P136 wd:Q744038 . OPTIONAL { ?game wdt:P178 ?dev . ?game wdt:P123 ?publisher . ?game wdt:P577 ?date . } }";P31, P136, P178, P123, P577
test_32;"Which French audiovisual works have a URL starting with ""https://www.artfilm.ch""? Include their directors, and the family names of the directors, ordered by the family names.";"PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?item ?réal ?famLabel WHERE { ?item wdt:P31 / wdt:P279 * wd:Q2431196 ; wdt:P57 ?réal . ?item p:P973 ?describestmt . ?describestmt ps:P973 ?decrit . ?describestmt pq:P407 wd:Q150 . FILTER STRSTARTS ( STR ( ?decrit ) , ""https://www.artfilm.ch"" ) . ?réal wdt:P734 ?fam . SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],en,it,de"" . } } ORDER BY STR ( ?famLabel )";P31, P279, P57, P734
test_33;Which distinct destroyers have an operator not listed in the vessel class's list of operators? For each row, include the vessel class and operator.;PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?item ?class ?operator WHERE { ?item wdt:P31 wd:Q174736 . ?item wdt:P137 ?operator . ?item wdt:P289 ?class . MINUS { ?class p:P137 / ps:P137 ?operator . } };P31, P137, P289
test_34;Which distinct items are subclasses, at any level, of a manuscript (a document written by hand)?;PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?item WHERE { ?item p:P279 ?statement0 . ?statement0 ( ps:P279 / ( wdt:P279 * ) ) wd:Q87167 . };P279
test_35;What are the 20 most common properties, excluding external IDs, for television series on Moroccan Arabic Wikipedia (https://ary.wikipedia.org/), and what percentage of television series have each property?;"#title:Most common properties (excluding external ids) for a type of item on a given Wikipedia
SELECT ?id (COUNT(DISTINCT ?item)*100/?total AS ?percent)
WITH { SELECT $WIKIPEDIA $TYPE WHERE {
  VALUES $WIKIPEDIA  { <https://ary.wikipedia.org/> }
  VALUES $TYPE { wd:Q5398426 }
  } } AS %constants
WITH {
 SELECT ?item WHERE {
  INCLUDE %constants
  ?item wdt:P31/wdt:P279? $TYPE .
   ?arwp schema:about ?item ; schema:isPartOf $WIKIPEDIA
 } } AS %list
WITH { SELECT (COUNT(?item) AS ?total) WHERE {
  INCLUDE %constants
  ?item wdt:P31/wdt:P279? $TYPE .
   ?arwp schema:about ?item ; schema:isPartOf $WIKIPEDIA
 } } AS %total
WHERE {
  include %list .
  include %total .
  ?item ?p [] .
  ?id wikibase:claim ?p FILTER(?id != wd:P31).
  MINUS { ?id wikibase:propertyType wikibase:ExternalId }
} GROUP BY ?id ?total 
ORDER BY DESC(?percent)
LIMIT 20
";P31, P279
test_36;Who has received an honorary doctorate from Bordeaux Montaigne University? Please also include the year they received the doctorate and order results by year;PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT distinct ?person ( YEAR ( ?date ) as ?year ) WHERE { ?person p:P166 ?distinction . ?distinction ps:P166 wd:Q55455135 . ?distinction pq:P585 ?date . } group by ?person ?date order by ?year;
test_37;What is the second-level parent organization of AdMob, the mobile advertising company?;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?PO2ndlevel WHERE { ?PO1stlevel wdt:P355 wd:Q1318441 . ?PO2ndlevel wdt:P355 ?PO1stlevel . };P355
test_38;What are the religious buildings located in the region of Molise, Italy?;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT * WHERE { ?q wdt:P31 / wdt:P279 * wd:Q24398318 . ?q wdt:P131 * / wdt:P276 * wd:Q1443 . };P31, P279, P131, P276
test_39;Which distinct items are instances of video game genres, or subclasses of either video game genres or electronic games? Please return the genre, the OLAC video game genre vocabulary ID (if available), and any subclasses (if available).;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?genre ?OLAC ?_subclass_of WHERE { ?genre wdt:P31 wd:Q659563 . VALUES ?gametype { wd:Q659563 wd:Q2249149 } OPTIONAL { ?genre wdt:P279 ?_subclass_of . { ?_subclass_of wdt:P31 wd:Q659563 . } UNION { ?_subclass_of wdt:P279 wd:Q2249149 . } } OPTIONAL { ?genre wdt:P6352 ?OLAC . } };P31, P279, P6352
test_40;What are the details of all tennis tournaments that were part of the 2018 ATP World Tour? Please include the tournament item, country (if available), end time (if available), location (if available), edition number (if available), point in time (if available), and surface played on (if available), sorted in ascending order by end time.;"PREFIX psv: <http://www.wikidata.org/prop/statement/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?item ?country ?endValue ?location ?edition ?timeValue ?surface WHERE { ?item wdt:P361 wd:Q23039138 ; wdt:P31 / wdt:P279 * wd:Q13219666 . OPTIONAL { ?item wdt:P17 ?country } OPTIONAL { ?item p:P582 / psv:P582 ?endNode . ?endNode wikibase:timeValue ?endValue . } OPTIONAL { ?item wdt:P276 ?location } OPTIONAL { ?item wdt:P393 ?edition } OPTIONAL { ?item p:P585 / psv:P585 ?timeNode . ?timeNode wikibase:timeValue ?timeValue . } OPTIONAL { ?item wdt:P765 ?surface } } ORDER BY ASC ( ?endValue )";P361, P31, P279, P17, P276, P393, P765
test_41;Which objects have two statements of elevation above sea level with a difference of more than 500 meters between the two statements? For each object, please include the specific part to which the elevation applies (if available) and the elevation (in meters) for both elevation statements.;PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wikibase: <http://wikiba.se/ontology#> SELECT ?item ?p518_1 ?h1 ?p518_2 ?h2 { ?item p:P2044 ?h1stm . ?h1stm psn:P2044 [ wikibase:quantityAmount ?h1 ] . OPTIONAL { ?h1stm pq:P518 ?p518_1 } ?item p:P2044 ?h2stm . ?h2stm psn:P2044 [ wikibase:quantityAmount ?h2 ] . OPTIONAL { ?h2stm pq:P518 ?p518_2 } FILTER ( ?h1 - ?h2 > 500 ) };
